1,2,3,4,5,6,7,8,9,10,average,11,12,13,14,15,16,17,18,19,20,21
2.5188,2.7667,2.4857,2.1129,2.2498,2.8213,2.004,2.2526,1.8635,2.7019,2.37772,0,1.3345,1.0848,1.4877,1.5617,1.376,2.0555,1.4815,1.9298,1.0107,1.3143
2.4849,2.5304,1.829,2.1332,2.2705,1.8792,2.229,2.3223,2.8271,1.9428,2.24484,0,1.1729,1.0605,1.3512,1.5168,1.3465,1.8607,1.2876,1.8506,1.2693,1.1925
2.2685,2.9173,2.139,2.4367,2.721,2.8149,2.3909,2.2617,2.7333,2.6534,2.53367,0,1.3213,1.2663,1.4802,1.7673,1.5475,2.2916,1.4668,1.7998,1.2722,1.4936
2.3428,1.8856,1.8875,1.8693,2.3794,1.7908,2.7454,1.9713,2.1006,1.8807,2.08534,0,0.81964,0.66074,1.1749,1.4632,1.4248,1.6171,1.5489,1.5089,1.3406,1.1168
1.8899,2.7986,2.8108,2.3906,2.1104,2.6092,1.8518,2.9781,2.2612,2.6192,2.43198,0,0.78623,0.83853,1.1715,1.4706,1.0142,1.7943,1.494,1.663,1.4549,1.2004
2.4141,2.7063,2.5752,2.6177,2.6248,2.8218,2.7813,2.7429,2.6717,2.9103,2.68661,0,0.87406,0.90793,1.4031,1.7017,1.2076,1.9733,1.5322,2.0085,1.5294,1.3344
1.9171,2.1611,2.7106,2.7026,1.8408,2.6116,2.0666,3.004,2.846,2.9086,2.4769,0,0.9958,0.65198,1.4901,1.5238,1.2288,1.986,1.7903,1.802,1.32,1.3286
3.0878,1.8832,2.0909,2.2229,2.4435,1.9873,2.3935,2.3602,2.3075,1.9845,2.27613,0,1.1798,0.71519,1.3533,1.2419,1.3472,1.8944,1.5559,1.9605,1.0475,1.0349
2.8962,2.3722,2.5583,2.5412,2.8353,2.3593,2.7824,2.6269,2.9091,2.873,2.67539,0,1.2145,0.83104,1.5026,1.4253,1.6133,2.0166,1.8172,1.9812,1.197,1.1195
2.6846,2.3328,2.2413,2.5302,2.3751,2.4845,1.7533,2.1946,2.13,2.0638,2.27902,0,0.98949,0.9285,1.6014,1.405,1.1888,1.8605,1.4716,1.6724,1.0407,1.2492
1.9497,1.8526,1.9554,1.7506,1.7561,2.7906,2.5799,2.642,1.8575,2.5613,2.16957,0,0.92133,0.66836,1.3254,1.0947,1.0294,1.6276,1.6434,1.6124,0.98321,1.0609
2.4259,2.1495,2.7582,2.2887,2.5198,2.6941,2.6843,2.4716,2.2062,2.209,2.44073,0,0.95179,0.98643,1.5858,1.3544,1.1732,2.1376,1.9873,2.4771,1.1058,1.2622
2.904,2.8107,3.0659,2.3241,2.5685,2.2963,3.1541,2.8182,1.3866,2.3371,2.56655,0,0.85598,0.75197,1.5001,0.93228,0.85263,1.6595,1.1609,1.5844,0.47814,0.80037
1.9727,1.3911,1.4389,1.6791,3.1028,1.3348,2.4168,1.2636,2.2142,1.2393,1.80533,0,0.53708,0.43428,0.47992,0.53286,0.92812,0.66941,1.1706,0.60155,0.85442,0.38762
1.3852,2.9765,2.5228,3.0357,3.0274,2.4364,2.7237,2.6685,2.9554,2.4583,2.61899,0,0.46211,0.61763,0.99867,1.0643,1.3776,1.6622,1.5145,1.2277,0.80009,0.96459
2.9569,3.2554,2.9703,3.2587,1.9949,3.1176,1.5266,2.9941,3.1884,3.1079,2.83708,0,0.75569,0.84857,1.2294,1.276,0.65908,1.6544,0.77247,1.9633,1.0465,0.91097
3.3749,2.9975,3.1223,2.5339,1.8865,3.3791,2.6824,2.9836,1.3971,2.2,2.65573,0,0.68535,0.6474,1.3906,0.90568,0.55534,1.5286,1.177,1.576,0.39631,0.50415
2.6399,1.4013,1.478,1.5521,2.9401,1.575,2.7883,1.296,1.8287,1.3768,1.88762,0,0.57459,0.42923,0.42922,0.37029,0.97508,0.50335,1.1953,0.49017,0.65273,0.34556
1.4818,2.4472,2.0905,3.0169,3.2282,2.4236,3.1635,3.0324,3.1143,3.0201,2.70185,0,0.38878,0.472,0.64433,1.2995,0.96651,0.91193,1.3585,1.5254,0.83615,0.93279
2.4227,3.3298,2.8857,2.9291,2.3662,3.4124,1.8541,3.0682,3.3272,2.9311,2.85265,0,0.49284,0.6132,1.2102,1.1219,0.67018,1.8023,0.6033,1.2956,0.8131,1.047
1.8313,1.7424,2.9252,2.6339,2.6258,1.5482,1.8471,2.3804,2.6712,2.4752,2.26807,0,0.42158,0.493,0.8512,1.2397,1.1009,0.60739,0.39091,1.1257,0.5959,0.75752
1.5572,2.5454,2.5338,2.7396,1.4182,2.5271,1.4226,2.9586,2.9847,2.3066,2.29938,0,0.36985,0.55574,0.65668,1.3236,0.3557,1.002,0.5773,1.1082,1.4057,0.50708
2.6978,2.7219,2.5838,1.2746,2.5706,2.6857,2.387,1.6061,1.6834,1.4869,2.16978,0,0.56864,0.62738,0.8819,0.42778,1.007,1.4824,0.93886,0.48548,0.40484,0.38223
2.9244,3.3582,1.7152,3.2245,1.416,2.0441,2.9405,3.0879,3.3824,2.0101,2.61033,0,0.78529,0.98174,0.48099,1.4844,0.57307,0.55355,1.063,1.8044,1.1286,0.47655
2.6831,3.1531,2.1381,2.9992,2.923,3.2339,2.1503,2.072,2.5988,2.5426,2.64941,0,0.64612,0.71203,0.59834,1.2697,1.0343,1.5081,0.71172,1.0256,0.68812,1.0199
3.0881,2.7084,2.9583,2.6196,2.4527,2.4992,2.9949,2.9428,2.5275,2.5691,2.73606,0,0.98842,0.64995,1.007,1.0998,0.59419,1.4236,1.1592,1.3382,0.73162,1.0226
2.4084,3.3948,2.7361,2.6824,2.7866,2.2298,2.7138,2.9572,2.9887,3.1509,2.80487,0,0.77143,0.51871,0.78168,0.87287,0.9956,1.1709,1.4124,1.4109,0.8013,1.2962
2.8948,2.2369,2.4487,2.0925,3.2666,2.301,2.8015,1.9835,2.0885,2.2571,2.43711,0,0.67632,0.48781,1.0764,0.81983,1.0493,0.98451,1.3345,1.255,0.47386,0.55155
2.0245,1.9479,3.0191,2.3635,3.0014,2.1081,1.918,2.2892,2.5353,2.4365,2.36435,0,0.77487,0.65219,1.2997,1.3881,1.1044,1.2261,0.89711,1.5705,0.70616,0.97712
1.8242,2.5588,2.366,2.8295,1.7748,2.2122,1.6942,2.7335,2.9591,2.1803,2.31326,0,0.61998,0.76537,0.8515,1.4824,0.54869,1.2379,1.0434,1.1984,1.3062,0.62083
2.3792,3.1838,2.3814,1.95,2.252,2.5102,2.5304,1.9362,1.9416,2.1296,2.31944,0,0.63951,0.82146,1.1104,0.69081,1.3316,1.7398,1.3681,1.0965,0.69312,0.81463
2.8629,3.3176,1.7512,3.5921,1.6474,2.114,2.1954,2.8432,3.3396,2.2015,2.58649,0,1.1898,0.91672,0.87857,1.8575,0.70741,1.2654,1.2985,2.3574,1.3007,0.78282
3.0034,3.1623,2.5971,3.3152,2.479,3.3406,2.6199,2.7912,2.5488,2.6772,2.85347,0,0.78252,0.7588,1.048,1.4152,1.0054,2.0215,1.2365,1.3731,0.8001,1.1724
3.3349,2.4628,2.6686,2.4391,3.1477,2.5631,3.2864,2.3825,2.444,2.6464,2.73755,0,0.96278,0.73022,1.1299,1.0047,0.87826,1.3596,1.6298,1.2387,0.84469,0.87962
2.5394,2.5274,2.5973,3.1709,2.944,2.7337,2.6763,2.9993,2.9495,3.3967,2.85345,0,0.818,0.64287,0.86545,1.2739,1.1594,1.3023,1.7016,1.712,1.0392,1.5434
2.8498,2.4592,3.3268,2.2707,3.213,2.5636,2.6059,2.5877,2.3584,2.4555,2.66906,0,0.67106,0.54941,1.1695,1.0662,1.0719,1.5228,1.471,1.4535,0.74453,0.67249
