1,2,3,4,5,6,7,8
0.65435,1.8613,1.8613,1.8613,0.52244,1.4034,1.4034,1.4034
0.80161,2.1838,2.1838,2.1838,0.49166,1.2552,1.2552,1.2552
0.80882,2.2346,2.2346,2.2346,0.53023,1.4126,1.4126,1.4126
0.81699,2.4421,2.4421,2.4421,0.59998,1.4971,1.4971,1.4971
0.66314,1.8089,1.8089,1.8089,0.54047,1.4465,1.4465,1.4465
0.84158,2.4211,2.4211,2.4211,0.60379,1.5085,1.5085,1.5085
0.65367,1.7767,1.7767,1.7767,0.53873,1.2974,1.2974,1.2974
0.88135,2.6602,2.6602,2.6602,0.5925,1.4062,1.4062,1.4062
0.86316,2.7086,2.7086,2.7086,0.61922,1.6055,1.6055,1.6055
0.69338,1.9044,1.9044,1.9044,0.56967,1.455,1.455,1.455
0.69241,2.3157,2.3157,2.3157,0.54792,1.4425,1.4425,1.4425
0.68692,2.2683,2.2683,2.2683,0.56252,1.4931,1.4931,1.4931
0.83168,2.5919,2.5919,2.5919,0.46598,1.1487,1.1487,1.1487
0.79247,2.5469,2.5469,2.5469,0.43241,1.1267,1.1267,1.1267
0.76616,2.392,2.392,2.392,0.54864,1.4365,1.4365,1.4365
0.76652,2.0977,2.0977,2.0977,0.35638,0.85771,0.85771,0.85771
0.80988,2.3513,2.3513,2.3513,0.4751,1.0688,1.0688,1.0688
0.89343,2.7451,2.7451,2.7451,0.4324,1.0519,1.0519,1.0519
0.83629,2.6723,2.6723,2.6723,0.48695,1.1068,1.1068,1.1068
0.5903,1.8283,1.8283,1.8282,0.27705,0.73937,0.73937,0.73937
0.53197,1.7077,1.7077,1.7077,0.12197,0.43899,0.43899,0.43899
0.41067,1.384,1.384,1.384,0.070172,0.40169,0.40169,0.40169
0.7433,2.274,2.274,2.274,0.35008,0.8188,0.8188,0.8188
0.68275,2.1348,2.1348,2.1348,0.35094,0.79622,0.79622,0.79622
0.73495,2.5057,2.5057,2.5057,0.35986,0.94319,0.94319,0.94319
0.80992,2.9143,2.9143,2.9143,0.50863,1.3997,1.3997,1.3997
0.79301,2.4547,2.4547,2.4547,0.49002,1.3683,1.3683,1.3683
0.83527,2.6175,2.6175,2.6175,0.54571,1.4411,1.4411,1.4411
0.68308,1.9393,1.9393,1.9393,0.41052,0.91557,0.91557,0.91557
0.72539,2.0322,2.0322,2.0322,0.37625,0.97212,0.97212,0.97212
0.68133,2.0323,2.0323,2.0323,0.53027,1.3528,1.3528,1.3528
0.78735,2.6052,2.6052,2.6052,0.49235,1.1895,1.1895,1.1895
0.77394,2.5542,2.5542,2.5542,0.49309,1.3087,1.3087,1.3087
0.87448,3.0257,3.0257,3.0257,0.62271,1.7103,1.7103,1.7103
0.7437,2.2537,2.2537,2.2537,0.58975,1.5402,1.5402,1.5402
0.82855,2.5546,2.5546,2.5546,0.55616,1.5092,1.5092,1.5092
