1,2,3,4,5,6,7,8
0.86164,2.4857,2.4857,2.4857,0.60428,1.4877,1.4877,1.4877
0.71401,1.829,1.829,1.829,0.52436,1.3512,1.3512,1.3512
0.79776,2.139,2.139,2.139,0.56393,1.4802,1.4802,1.4802
0.67241,1.8875,1.8875,1.8875,0.49382,1.1749,1.1749,1.1749
0.91581,2.8108,2.8108,2.8108,0.49468,1.1715,1.1715,1.1715
0.91699,2.5752,2.5752,2.5752,0.60916,1.4031,1.4031,1.4031
0.84366,2.7106,2.7106,2.7106,0.57051,1.4901,1.4901,1.4901
0.72779,2.0908,2.0909,2.0909,0.5414,1.3533,1.3533,1.3533
0.82121,2.5583,2.5583,2.5583,0.54195,1.5026,1.5026,1.5026
0.7465,2.2413,2.2413,2.2413,0.64065,1.6014,1.6014,1.6014
0.62674,1.9554,1.9554,1.9554,0.50857,1.3254,1.3254,1.3254
0.77131,2.7582,2.7582,2.7582,0.57437,1.5858,1.5858,1.5858
0.91476,3.0659,3.0659,3.0659,0.61189,1.5001,1.5001,1.5001
0.52693,1.4389,1.4389,1.4389,0.1731,0.47992,0.47992,0.47992
0.79461,2.5228,2.5228,2.5228,0.44023,0.99867,0.99867,0.99867
0.89892,2.9703,2.9703,2.9703,0.48254,1.2294,1.2294,1.2294
0.88863,3.1223,3.1223,3.1223,0.48955,1.3906,1.3906,1.3906
0.44348,1.478,1.478,1.478,0.080816,0.42922,0.42922,0.42921
0.59239,2.0905,2.0905,2.0905,0.2294,0.64433,0.64433,0.64433
0.78327,2.8857,2.8857,2.8857,0.48905,1.2102,1.2102,1.2102
0.81296,2.9252,2.9252,2.9252,0.34899,0.8512,0.8512,0.8512
0.79408,2.5338,2.5338,2.5338,0.21432,0.65668,0.65668,0.65668
0.70975,2.5838,2.5838,2.5838,0.34217,0.8819,0.8819,0.8819
0.47258,1.7152,1.7152,1.7152,0.088598,0.48099,0.48099,0.48099
0.63052,2.1381,2.1381,2.1381,0.28241,0.59834,0.59834,0.59834
0.88833,2.9583,2.9583,2.9583,0.32832,1.007,1.007,1.007
0.83048,2.7361,2.7361,2.7361,0.2885,0.78168,0.78168,0.78168
0.73764,2.4487,2.4487,2.4487,0.41484,1.0764,1.0764,1.0764
0.87838,3.0191,3.0191,3.0191,0.53227,1.2997,1.2997,1.2997
0.73398,2.366,2.366,2.366,0.38799,0.8515,0.8515,0.8515
0.73464,2.3814,2.3814,2.3814,0.46842,1.1104,1.1104,1.1104
0.68957,1.7512,1.7512,1.7512,0.34215,0.87857,0.87857,0.87857
0.83992,2.5971,2.5971,2.5971,0.44632,1.048,1.048,1.048
0.82986,2.6686,2.6686,2.6686,0.42503,1.1299,1.1299,1.1299
0.78946,2.5973,2.5973,2.5973,0.30113,0.86545,0.86545,0.86545
0.92857,3.3268,3.3268,3.3268,0.43531,1.1695,1.1695,1.1695
