1,2,3,4,5,6,7,8
0.77811,1.9452,1.9452,1.9452,0.58961,1.483,1.483,1.483
0.73397,1.9956,1.9956,1.9957,0.56595,1.3787,1.3787,1.3787
0.85272,2.4028,2.4028,2.4028,0.63742,1.7307,1.7307,1.7307
0.75364,2.1465,2.1465,2.1465,0.52903,1.4542,1.4542,1.4542
0.74784,1.9857,1.9857,1.9857,0.49878,1.2953,1.2953,1.2953
0.88502,2.6882,2.6882,2.6882,0.58423,1.5246,1.5246,1.5246
0.64774,1.7042,1.7042,1.7042,0.48974,1.2047,1.2047,1.2047
0.86587,2.5173,2.5173,2.5173,0.53353,1.2742,1.2742,1.2742
0.89602,2.6424,2.6424,2.6424,0.5882,1.5271,1.5271,1.5271
0.80362,2.1679,2.1679,2.1679,0.55986,1.4179,1.4179,1.4179
0.6581,1.6276,1.6276,1.6276,0.5167,1.3245,1.3245,1.3244
0.76175,1.9369,1.9369,1.9369,0.58211,1.6495,1.6495,1.6495
0.60343,1.5953,1.5953,1.5953,0.344,0.82584,0.82584,0.82584
0.87354,2.7637,2.7637,2.7637,0.47632,1.2458,1.2458,1.2458
0.46343,1.3624,1.3624,1.3624,0.18757,0.53026,0.53026,0.53026
0.75349,2.335,2.335,2.335,0.463,1.1282,1.1282,1.1282
0.55128,1.8303,1.8303,1.8303,0.33105,0.59135,0.59135,0.59134
0.75762,2.647,2.647,2.647,0.4631,1.037,1.037,1.037
0.48674,1.5665,1.5665,1.5665,0.083193,0.42164,0.42164,0.42164
0.80694,2.6272,2.6272,2.6272,0.36466,0.96256,0.96256,0.96256
0.67225,1.9828,1.9828,1.9828,0.44613,0.92497,0.92498,0.92497
0.43895,1.4094,1.4094,1.4094,0.10013,0.43012,0.43012,0.43012
0.81103,2.2768,2.2768,2.2768,0.27684,0.80552,0.80552,0.80552
0.77474,2.4407,2.4407,2.4407,0.39548,0.93004,0.93004,0.93004
0.88001,3.1425,3.1425,3.1425,0.54158,1.6182,1.6182,1.6182
,,,,,,,
,,,,,,,
0.72009,2.3744,2.3744,2.3744,0.38711,0.98937,0.98937,0.98937
0.82417,2.1886,2.1886,2.1886,0.49526,1.2493,1.2493,1.2493
0.81353,2.1181,2.1181,2.1181,0.43809,1.0141,1.0141,1.0141
0.7174,2.0741,2.0741,2.0741,0.37766,0.92626,0.92626,0.92626
0.77946,2.482,2.482,2.482,0.49917,1.2478,1.2478,1.2478
,,,,,,,
0.87265,3.2913,3.2913,3.2913,0.56247,1.4807,1.4807,1.4807
0.77766,2.5698,2.5698,2.5698,0.47833,1.1286,1.1286,1.1286
0.83671,2.5967,2.5967,2.5967,0.46299,1.1758,1.1758,1.1758
